sep=;
canvasUID;PIC50;BIT416695;BIT25083760;BIT71434822;BIT84280750;BIT95903609;BIT102399351;BIT137141702;BIT161919455;BIT231767701;BIT296643833;BIT325110245;BIT343347600;BIT382663436;BIT445368298;BIT447491982;BIT454695638;BIT461995270;BIT489408998;BIT498271925;BIT512501707;BIT529983082;BIT549723270;BIT579455206;BIT663540546;BIT668108427;BIT698960346;BIT709475155;BIT709651509;BIT713272307;BIT735886929;BIT756128414;BIT766859247;BIT775003927;BIT816876741;BIT847457078;BIT857566715;BIT871814556;BIT965560281;BIT967204674;BIT991546298;BIT1059910569;BIT1088600332;BIT1137660364;BIT1150954441;BIT1180899194;BIT1183608826;BIT1183772289;BIT1249143480;BIT1286097669;BIT1289143263;BIT1297636766;BIT1308445080;BIT1317719838;BIT1343504748;BIT1397082970;BIT1420529118;BIT1434067628;BIT1438852581;BIT1453573312;BIT1458416921;BIT1458817344;BIT1482116886;BIT1518357542;BIT1532622069;BIT1590530261;BIT1593217523;BIT1606521980;BIT1606864494;BIT1625053042;BIT1650641582;BIT1658514259;BIT1675726905;BIT1729343536;BIT1744748874;BIT1763852993;BIT1775927972;BIT1817287564;BIT1820083452;BIT1828601962;BIT1835356340;BIT1836281034;BIT1850388945;BIT1852842002;BIT1877127355;BIT1880193950;BIT1929025811;BIT1931682375;BIT1951959360;BIT1974333412;BIT1980081258;BIT1989718913;BIT1991952949;BIT1994226431;BIT2036762589;BIT2055322682;BIT2076163212;BIT2099096073;BIT2129733171;BIT2138392151;BIT2139247709;BIT2207658668;BIT2234145502;BIT2238283507;BIT2266715787;BIT2298394740;BIT2333121546;BIT2350638970;BIT2363518894;BIT2398121216;BIT2399274745;BIT2435181668;BIT2439996934;BIT2496824472;BIT2508659983;BIT2511530393;BIT2514225805;BIT2519667521;BIT2538444524;BIT2543413180;BIT2544199436;BIT2545290439;BIT2553733606;BIT2590600740;BIT2622794414;BIT2640057045;BIT2669121026;BIT2688403090;BIT2726668918;BIT2763572059;BIT2764126396;BIT2769574841;BIT2787151344;BIT2796320579;BIT2817554853;BIT2826563065;BIT2876053694;BIT2877206256;BIT2894138722;BIT2895216662;BIT2903416126;BIT3013744604;BIT3015214213;BIT3039054427;BIT3062529878;BIT3072741045;BIT3109528478;BIT3151364000;BIT3153683224;BIT3168999133;BIT3194965116;BIT3210227787;BIT3226064905;BIT3236330654;BIT3266682236;BIT3353255169;BIT3424171713;BIT3435375771;BIT3481246137;BIT3481696833;BIT3513587848;BIT3515388328;BIT3542234975;BIT3551101502;BIT3566268516;BIT3574092331;BIT3582006882;BIT3586373890;BIT3628465060;BIT3633722949;BIT3645280995;BIT3659296035;BIT3680784244;BIT3682171576;BIT3692458706;BIT3699433444;BIT3706798617;BIT3710763174;BIT3715969503;BIT3717843640;BIT3724039179;BIT3748431913;BIT3765517389;BIT3769689939;BIT3786400542;BIT3805366234;BIT3845273002;BIT3848482083;BIT3856587641;BIT3874437369;BIT3893809845;BIT3919140425;BIT3960598776;BIT3992135501;BIT4087878728;BIT4106271831;BIT4109386037;BIT4111917065;BIT4143297344;BIT4157245929;BIT4291038890
57;12.5917351263422;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
58;12.5917351263422;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
59;12.5627475894689;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
60;12.5345767125022;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
61;12.4805094912319;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
62;12.4545340048287;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
63;12.4545340048287;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
64;12.4292161968444;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
65;12.4292161968444;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
66;12.4292161968444;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
67;12.4292161968444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
68;12.2679480492483;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;12.2468946400504;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
70;12.2060726455302;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1
71;12.1668519323769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;12.129111604394;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
73;12.1107624657258;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;11.9437083810627;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
75;11.8839891463611;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
76;11.8140305577542;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
77;11.7236464962859;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;11.675444394468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
79;11.6182859806281;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
80;11.6182859806281;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;11.5589694034716;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;1;1;1;0;0;1;0;1;1;1;1;0;0;0;1;1;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
82;11.4359644238341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;11.3306039081763;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
84;11.235293728372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;11.176453228349;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
86;11.1043983828262;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1
